Work_ID,Title,Year_As_Listed,Venue_Label_As_Listed,Primary_URL,Strong_Identifiers,Source_Commit,Source_Sections,Application_Categories,Taxonomy_Branches,Source_Line_Refs,Occurrence_Count,Taxonomy_Value_Conflict,Feedback_Type,Feedback_Subtype,Feedback_Granularity,Feedback_Phase,Interaction_Types,Interaction_Variant,Orchestration_Strategy,Orchestration_Synchronization,Communication_Structure,Communication_Mode
ACL26-W-AA6CB8E44012,Into the Unknown Unknowns: Engaged Human Learning through Participation in Language Model Agent Conversations,2024,EMNLP 2024,https://aclanthology.org/2024.emnlp-main.554/,acl:2024.emnlp-main.554; arxiv:2408.15232,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Conversation System,Communication; Human Feedback; Interaction; Orchestration,README:L227; README:L361; README:L534; README:L636; README:L737; README:L839,6,No,Guidance,Demonstration,Segment,During Task,Collaboration,Delegation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-2303C771A632,Investigating Agency of LLMs in Human-AI Collaboration Tasks,2023,EACL 2024,https://aclanthology.org/2024.eacl-long.119/,acl:2024.eacl-long.119; arxiv:2305.12815,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L277; README:L561; README:L663; README:L764; README:L866,5,No,Guidance,"Demonstration, Critique",Segment,During Task,Collaboration,"Cooperation, Delegation",One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-5BA841BD1C2A,Just A Rather Very Intelligent Spoken Agent (JarvisBench),2026,arXiv 2026,https://arxiv.org/abs/2607.16610,arxiv:2607.16610,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","General-Purpose Assistants, Cross-Domain",Communication; Human Feedback; Interaction; Orchestration,README:L403; README:L476; README:L578; README:L64; README:L678; README:L781,6,No,"Guidance, Corrective","Refinement, Critique",Segment,During Task,Collaboration,"Supervision, Cooperation",Simultaneous,Asynchronous,Hierarchical,"Conversation, Observation"
ACL26-W-68AC8BC6AAE2,Label Effects: Shared Heuristic Reliance in Trust Assessment by Humans and LLM-as-a-Judge,2026,arXiv 2026,https://arxiv.org/abs/2604.05593,arxiv:2604.05593,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers","General-Purpose Assistants, Cross-Domain",,README:L104; README:L415,2,No,,,,,,,,,,
ACL26-W-5D54A174DFF3,Large Language Model-based Human-Agent Collaboration for Complex Task Solving,2024,,https://arxiv.org/abs/2402.12914,arxiv:2402.12914,7b3ba9deefe99172748582f6025d995ccc2a6f86,Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L547; README:L649; README:L750; README:L852,4,No,Implicit,Human Control,Segment,During Task,Collaboration,Delegation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-663CA9009136,Learning Personalized Agents from Human Feedback,2026,arXiv 2026,https://arxiv.org/abs/2602.16173,arxiv:2602.16173,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Conversation System,Communication; Human Feedback; Interaction; Orchestration,README:L122; README:L353; README:L503; README:L605; README:L706; README:L808,6,No,"Guidance, Corrective, Evaluative","Critique, Refinement, Preference Ranking",Segment,"Initial Setup, During Task, Post Task",Collaboration,Cooperation,One-by-One,Synchronous,Centralized,Conversation
ACL26-W-298AE29DE73E,Learning to Clarify: Multi-turn Conversations with Action-Based Contrastive Self-Training,2025,ICLR 2025,https://arxiv.org/abs/2406.00222,arxiv:2406.00222,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Conversation System,Communication; Human Feedback; Interaction; Orchestration,README:L170; README:L359; README:L518; README:L620; README:L721; README:L823,6,No,Corrective,Refinement,Segment,During Task,Collaboration,Cooperation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-B62CCF74D983,Learning User Simulators with Turing Rewards,2026,arXiv 2026,https://arxiv.org/abs/2606.19336,arxiv:2606.19336,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Conversation System,Communication; Human Feedback; Interaction; Orchestration,README:L341; README:L480; README:L582; README:L683; README:L72; README:L785,6,No,Implicit,User Action,Segment,During Task,Collaboration,Cooperation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-5EC9FA89DEB5,Leveraging Dual Process Theory in Language Agent Framework for Real-time Simultaneous Human-AI Collaboration,2025,ACL 2025,https://arxiv.org/abs/2502.11882,arxiv:2502.11882,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L200; README:L525; README:L628; README:L729; README:L831,5,No,Guidance,Critique,Holistic,During Task,Collaboration,,Simultaneous,Asynchronous,Decentralized,Observation
ACL26-W-CE8841F63DE7,"LiveClawBench: Benchmarking LLM Agents on Complex, Real-World Assistant Tasks",2026,arXiv 2026,https://arxiv.org/abs/2604.13072,arxiv:2604.13072,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Web Navigation & Computer Use,Communication; Human Feedback; Interaction; Orchestration,README:L114; README:L291; README:L497; README:L599; README:L700; README:L802,6,No,"Implicit, Guidance","User Action, Demonstration",Segment,"Initial Setup, During Task",Collaboration,Delegation,One-by-One,Asynchronous,Centralized,"Observation, Conversation"
ACL26-W-0683577E1E9C,LLM Agents for Deliberative Collaboration: A Study on Joint Decision Making Under Partial Observability,2026,arXiv 2026,https://arxiv.org/abs/2607.06157,arxiv:2607.06157,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Embodied AI, Robotics",Communication; Human Feedback; Interaction; Orchestration,README:L325; README:L477; README:L579; README:L66; README:L679; README:L782,6,No,"Guidance, Evaluative","Critique, Binary Assessment",Segment,During Task,Collaboration,"Cooperation, Coordination",One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-648348500982,LLM-Based Human-Agent Collaboration and Interaction Systems: A Survey,2025,arXiv 2025,https://arxiv.org/abs/2505.00753,arxiv:2505.00753,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L180,1,No,,,,,,,,,,
ACL26-W-408C0D3B0684,LLM-Based Human-Robot Collaboration Framework for Manipulation Tasks,2023,,https://arxiv.org/abs/2308.14972,arxiv:2308.14972,7b3ba9deefe99172748582f6025d995ccc2a6f86,Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L557; README:L658; README:L759; README:L861,4,No,"Corrective, Guidance","Demonstration, Refinement",Segment,During Task,Collaboration,"Supervision, Delegation",One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-B2267778FEC6,LLM-Powered Hierarchical Language Agent for Real-time Human-AI Coordination,2023,AAMAS 2024,https://arxiv.org/abs/2312.15224,arxiv:2312.15224,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L259; README:L551; README:L653; README:L754; README:L856,5,No,"Guidance, Corrective","Demonstration, Refinement",Segment,During Task,Collaboration,"Supervision, Delegation",Simultaneous,Synchronous,Hierarchical,Conversation
ACL26-W-DA93B8446B62,M3HF: Multi-agent Reinforcement Learning from Multi-phase Human Feedback of Mixed Quality,2025,ICML 2025,https://openreview.net/forum?id=2Sl6Ex7Vmo,openreview:2sl6ex7vmo,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L196,1,No,,,,,,,,,,
ACL26-W-721A73E61171,Magentic-UI: Towards Human-in-the-loop Agentic Systems,2025,arXiv 2025,https://www.arxiv.org/abs/2507.22358,arxiv:2507.22358,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Software Engineering, Coding",Communication; Human Feedback; Interaction; Orchestration,README:L150; README:L312; README:L514; README:L616; README:L717; README:L819,6,No,"Evaluative, Corrective, Guidance, Implicit","Binary Assessment, Refinement, Critique, User Action",Segment,"During Task, Post Task",Collaboration,"Cooperation, Coordination",Simultaneous,Synchronous,"Hierarchical, Centralized","Conversation, Observation"
ACL26-W-878216C807F2,MemoCue: Empowering LLM-Based Agents for Human Memory Recall via Strategy-Guided Querying,2025,arXiv 2025,https://arxiv.org/abs/2507.23633,arxiv:2507.23633,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L148,1,No,,,,,,,,,,
ACL26-W-411FA4F27687,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,2023,ICML 2023,https://openreview.net/forum?id=VtmBAGCN7o,arxiv:2308.00352; openreview:vtmbagcn7o,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L269; README:L556; README:L659; README:L760; README:L862,5,No,"Evaluative, Guidance",Binary Assessment,Holistic,"Initial Setup, Post Task",Collaboration,Coordination,One-by-One,Asynchronous,Decentralized,Message Pool
ACL26-W-8B4D5F621271,MindAgent: Emergent Gaming Interaction,2023,NAACL 2024,https://aclanthology.org/2024.findings-naacl.200/,acl:2024.findings-naacl.200; arxiv:2309.09971,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Gaming,Communication; Human Feedback; Interaction; Orchestration,README:L267; README:L384; README:L553; README:L657; README:L758; README:L860,6,No,Corrective,Refinement,Segment,During Task,Collaboration,Coordination,One-by-One,Synchronous,Centralized,Conversation
ACL26-W-DB6A36EBE966,MineWorld: a Real-Time and Open-Source Interactive World Model on Minecraft,2025,arXiv 2025,https://arxiv.org/abs/2504.08388,arxiv:2504.08388,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Gaming,Communication; Human Feedback; Interaction; Orchestration,README:L184; README:L381; README:L521; README:L623; README:L724; README:L826,6,No,Evaluative,Scalar Rating,Holistic,Post Task,Collaboration,Delegation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-BE797B75B0BD,MINT: Evaluating LLMs in Multi-turn Interaction with Tools and Language Feedback,2023,ICLR 2024,https://arxiv.org/abs/2309.10691,arxiv:2309.10691,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Conversation System; Embodied AI, Robotics; Software Engineering, Coding",Communication; Human Feedback; Interaction; Orchestration,README:L265; README:L318; README:L330; README:L366; README:L555; README:L656; README:L757; README:L859,8,No,Evaluative,Binary Assessment,Holistic,During Task,Collaboration,Delegation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-F60977424D7F,Modeling Distinct Human Interaction in Web Agents (CowCorpus),2026,arXiv 2026,https://arxiv.org/abs/2602.17588,arxiv:2602.17588,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Web Navigation & Computer Use,Communication; Human Feedback; Interaction; Orchestration,README:L120; README:L293; README:L501; README:L603; README:L704; README:L806,6,No,"Implicit, Corrective","User Action, Human Control, Refinement",Segment,During Task,Collaboration,"Supervision, Delegation, Coordination",Simultaneous,Synchronous,Centralized,"Observation, Conversation"
ACL26-W-131C63C14258,MUA-RL: Multi-turn User-interacting Agent Reinforcement Learning for agentic tool use,2025,arXiv 2025,https://arxiv.org/abs/2508.18669,arxiv:2508.18669,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L144; README:L513; README:L615; README:L716; README:L818,5,No,"Evaluative, Guidance","Binary Assessment, Refinement",Holistic,"Initial Setup, During Task",Collaboration,Delegation,One-by-One,Synchronous,Hierarchical,Conversation
ACL26-W-D871D8C34730,Mutual Theory of Mind in Human-AI Collaboration: An Empirical Study with LLM-driven AI Agents in a Real-time Shared Workspace Task,2024,arXiv 2024,https://arxiv.org/abs/2409.08811,arxiv:2409.08811,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L225; README:L533; README:L635; README:L736; README:L838,5,No,Corrective,Refinement,Segment,During Task,Collaboration,Coordination,Simultaneous,Synchronous,Decentralized,Conversation
ACL26-W-DF07DBD078A5,Not All Uncertainty Is Equal: How Uncertainty Granularity Shapes Human Verification in LLM-Assisted Decision Making,2026,FAccT 2026,https://arxiv.org/abs/2605.28571,arxiv:2605.28571,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Healthcare, Medicine",Communication; Human Feedback; Interaction; Orchestration,README:L394; README:L486; README:L588; README:L689; README:L791; README:L86,6,No,"Evaluative, Implicit","Binary Assessment, User Action","Segment, Holistic",During Task,Collaboration,Supervision,One-by-One,Synchronous,Centralized,Conversation
ACL26-W-B5A204F4467D,Overseeing Agents Without Constant Oversight: Challenges and Opportunities,2026,arXiv 2026,https://arxiv.org/abs/2602.16844,arxiv:2602.16844,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Web Navigation & Computer Use,Communication; Human Feedback; Interaction; Orchestration,README:L125; README:L295; README:L502; README:L604; README:L705; README:L807,6,No,"Evaluative, Corrective","Binary Assessment, Critique","Segment, Holistic","During Task, Post Task",Collaboration,Supervision,One-by-One,Asynchronous,Hierarchical,Observation
ACL26-W-142E22860F9B,PaLM-E: An Embodied Multimodal Language Model,2023,,https://openreview.net/forum?id=VTpHpqM3Cf&utm_campaign=The%20Batch&utm_source=hs_email&utm_medium=email&utm_content=284568789&_hsenc=p2ANqtz-9lsSL4nXMrOGBQqGoqktY5Yno_r9-nTOARZinDcgihFNqcOFEQb_MVtHKdpgI2AC3N8SrNW5PxcD0uxl4WeKcPJgUOgw,openreview:vtphpqm3cf,7b3ba9deefe99172748582f6025d995ccc2a6f86,Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L563; README:L665; README:L766; README:L868,4,No,"Guidance, Implicit","Demonstration, User Action",Segment,During Task,Collaboration,Delegation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-7B261B704808,PARTNR: A Benchmark for Planning and Reasoning in Embodied Multi-agent Tasks,2024,ICLR 2025,https://arxiv.org/abs/2411.00081,arxiv:2411.00081; openreview:t5qlrrhyl1,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Embodied AI, Robotics",Communication; Human Feedback; Interaction; Orchestration,README:L215; README:L327; README:L531; README:L633; README:L734; README:L836,6,No,"Corrective, Guidance","Refinement, Critique","Holistic, Segment","During Task, Post Task",Collaboration,"Coordination, Cooperation",One-by-One,Asynchronous,Decentralized,Conversation
ACL26-W-9679DA507624,PDFChatAnnotator: A Human-LLM Collaborative Multi-Modal Data Annotation Tool for PDF-Format Catalogs,2024,IUI 2024,https://dl.acm.org/doi/10.1145/3640543.3645174,title:pdfchatannotator a human llm collaborative multi modal data annotation tool for pdf format catalogs,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L249; README:L545; README:L647; README:L748; README:L850,5,No,"Corrective, Guidance","Demonstration, Refinement",Segment,During Task,Collaboration,Delegation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-778E0EB83792,PerspectiveGap: A Benchmark for Multi-Agent Orchestration Prompting,2026,arXiv 2026,https://arxiv.org/abs/2606.08878,arxiv:2606.08878,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Data Science, Scientific Discovery",Orchestration,README:L372; README:L681; README:L76,3,No,,,,,,,Simultaneous,Asynchronous,,
ACL26-W-8766D3B5AFD6,Proactive Agent: Shifting LLM Agents from Reactive Responses to Active Assistance,2024,ICLR 2025,https://openreview.net/forum?id=sRIU6k2TcU,openreview:sriu6k2tcu,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L219,1,No,,,,,,,,,,
ACL26-W-E540ED94D93D,Progressive Ideation using an Agentic AI Framework for Human-AI Co-Creation (MIDAS),2026,arXiv 2026,https://arxiv.org/abs/2601.00475,arxiv:2601.00475,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Writing,Communication; Human Feedback; Interaction; Orchestration,README:L129; README:L447; README:L505; README:L607; README:L708; README:L810,6,No,"Evaluative, Guidance","Preference Ranking, Critique",Segment,During Task,Collaboration,Cooperation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-9C1E5C5352DF,Prototypical Human-AI Collaboration Behaviors from LLM-Assisted Writing in the Wild,2025,arXiv 2025,https://arxiv.org/abs/2505.16023,arxiv:2505.16023,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Writing,Communication; Human Feedback; Interaction; Orchestration,README:L174; README:L449; README:L519; README:L621; README:L722; README:L824,6,No,"Corrective, Guidance, Evaluative","Refinement, Binary Assessment, Demonstration","Segment, Holistic",During Task,Collaboration,"Supervision, Cooperation",One-by-One,Synchronous,Centralized,Conversation
ACL26-W-589CAE49FEF9,Re-Centering Humans in LLM Personalization,2026,arXiv 2026,https://arxiv.org/abs/2606.06614,arxiv:2606.06614,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Conversation System,Communication; Human Feedback; Interaction; Orchestration,README:L343; README:L482; README:L584; README:L685; README:L78; README:L787,6,No,"Evaluative, Implicit","Preference Ranking, Scalar Rating, User Action","Holistic, Segment",Post Task,Collaboration,Cooperation,One-by-One,Asynchronous,Centralized,Conversation
ACL26-W-F1BC34347FF2,RECODE-H: A Benchmark for Research Code Development with Interactive Human Feedback,2025,arXiv 2025,https://arxiv.org/abs/2510.06186,arxiv:2510.06186,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Software Engineering, Coding",Communication; Human Feedback; Interaction; Orchestration,README:L139; README:L310; README:L511; README:L613; README:L714; README:L816,6,No,"Guidance, Corrective","Refinements, Critique, Demonstration",Segment,During Task,Collaboration,"Supervision, Cooperation",One-by-One,Synchronous,Hierarchical,Conversation
ACL26-W-BF157A5B8CE4,Reframing LLM Agent Security as an Agent-Human Interaction Problem,2026,arXiv 2026,https://arxiv.org/abs/2605.24309,arxiv:2605.24309,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers","General-Purpose Assistants, Cross-Domain",,README:L411; README:L90,2,No,,,,,,,,,,
ACL26-W-7D20B284A65F,Reinforcing Human Behavior Simulation via Verbal Feedback (DITTO & SOUL),2026,arXiv 2026,https://arxiv.org/abs/2605.20506,arxiv:2605.20506,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Conversation System,Communication; Human Feedback; Interaction; Orchestration,README:L347; README:L488; README:L590; README:L691; README:L793; README:L92,6,No,"Guidance, Corrective","Critique, Refinement","Holistic, Segment",Post Task,Collaboration,Cooperation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-31F7D0F06F27,REVECA: Adaptive Planning and Trajectory-based Validation in Cooperative Language Agents using Information Relevance and Relative Proximity,2024,AAAI 2025,https://arxiv.org/abs/2405.16751,arxiv:2405.16751,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L243; README:L540; README:L642; README:L743; README:L845,5,No,Implicit,Human Control,Segment,During Task,Collaboration,Delegation,One-by-One,Asynchronous,Hierarchical,Observation
ACL26-W-EA3008952FE0,Safe Multi-agent Reinforcement Learning with Natural Language Constraints,2024,arXiv 2024,https://arxiv.org/abs/2405.20018,arxiv:2405.20018,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L241,1,No,,,,,,,,,,
ACL26-W-8AF9F5C774AA,SalesSim: Benchmarking and Aligning Multimodal Language Models as Retail User Simulators,2026,arXiv 2026,https://arxiv.org/abs/2605.08334,arxiv:2605.08334,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Retail, Telecom",Communication; Human Feedback; Interaction; Orchestration,README:L423; README:L491; README:L593; README:L694; README:L796; README:L98,6,No,"Implicit, Guidance","User Action, Critique",Segment,During Task,Collaboration,Cooperation,One-by-One,Synchronous,Centralized,"Conversation, Observation"
ACL26-W-9373B7410120,SOTOPIA: Interactive Evaluation for Social Intelligence in Language Agents,2023,ICLR 2024,https://openreview.net/forum?id=mM7VurbA4r,arxiv:2310.11667; openreview:mm7vurba4r,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L261; README:L552; README:L654; README:L755; README:L857,5,No,"Evaluative, Implicit","Scalar Rating, User Action","Holistic, Segment","During Task, Post Task","Collaboration, Competition, Coopetition",Coordination,One-by-One,Synchronous,Centralized,Conversation
ACL26-W-FD19E6D06C96,SPHERE: An Evaluation Card for Human-AI Systems,2025,ACL 2025 Findings,https://arxiv.org/abs/2504.07971,arxiv:2504.07971,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L188,1,No,,,,,,,,,,
ACL26-W-EC4A2ED9764C,SWEET-RL: Training Multi-Turn LLM Agents on Collaborative Reasoning Tasks,2025,arXiv 2025,https://arxiv.org/abs/2503.15478,arxiv:2503.15478,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Software Engineering, Coding",Communication; Human Feedback; Interaction; Orchestration,README:L190; README:L314; README:L523; README:L626; README:L727; README:L829,6,No,"Corrective, Implicit","Refinement, User Action",Segment,During Task,Collaboration,Delegation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-84B6E8816340,SymbioticRAG: Enhancing Document Intelligence Through Human-LLM Symbiotic Collaboration,2025,arXiv 2025,https://web3.arxiv.org/abs/2505.02418,arxiv:2505.02418,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L178,1,No,,,,,,,,,,
ACL26-W-D19212BC55B0,To Help or Not to Help: LLM-based Attentive Support for Human-Robot Group Interactions,2024,IROS 2024,https://ieeexplore.ieee.org/abstract/document/10801517,title:to help or not to help llm based attentive support for human robot group interactions,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L206; README:L530; README:L632; README:L733; README:L835,5,No,"Implicit, Guidance","Demonstration, User Action",Holistic,"Initial Setup, During Task",Collaboration,Coordination,One-by-One,Synchronous,Decentralized,Observation
ACL26-W-DAE52C72AF2E,Towards Modeling Human-Agentic Collaborative Workflows: A BPMN Extension,2024,arXiv 2024,https://arxiv.org/abs/2412.05958,arxiv:2412.05958,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L210; README:L529; README:L631; README:L732; README:L833,5,No,Guidance,Demonstration,Holistic,"Initial Setup, During Task, Post Task",Collaboration,Coordination,One-by-One,Asynchronous,Decentralized,Conversation
ACL26-W-6B375620F05B,Training LLM Agents to Empower Humans,2025,arXiv 2025,https://arxiv.org/abs/2510.13709,arxiv:2510.13709,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L135; README:L509; README:L611; README:L712; README:L814,5,No,"Implicit, Corrective","User Action, Refinements",Segment,During Task,Collaboration,Cooperation,One-by-One,Synchronous,Hierarchical,"Conversation, Observation"
ACL26-W-D8C816D1E0C7,Training Proactive and Personalized LLM Agents,2025,arXiv 2025,https://arxiv.org/abs/2511.02208,arxiv:2511.02208,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L133; README:L508; README:L610; README:L711; README:L813,5,No,"Guidance, Evaluative","Scalar Rating, Refinements","Segment, Holistic",During Task,Collaboration,Cooperation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-3717D5F201B9,Uncertainty-Aware Clarification in LLM Agents with Information Gain,2026,arXiv 2026,https://arxiv.org/abs/2606.03135,arxiv:2606.03135,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","General-Purpose Assistants, Cross-Domain",Communication; Human Feedback; Interaction; Orchestration,README:L409; README:L485; README:L587; README:L688; README:L790; README:L84,6,No,Guidance,Demonstration,Segment,During Task,Collaboration,Cooperation,One-by-One,Synchronous,Centralized,Conversation
ACL26-W-F7B93EF4142D,Uncertainty Decomposition for Clarification Seeking in LLM Agents,2026,arXiv 2026,https://arxiv.org/abs/2606.19559,arxiv:2606.19559,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","General-Purpose Assistants, Cross-Domain",Communication; Human Feedback; Interaction; Orchestration,README:L407; README:L479; README:L581; README:L682; README:L70; README:L784,6,No,Guidance,Demonstration,Segment,During Task,Collaboration,Cooperation,One-by-One,Synchronous,Centralized,Conversation
ACL26-W-36588A821BE5,User Preference Modeling for Conversational LLM Agents: Weak Rewards from Retrieval-Augmented Interaction (VARS),2026,arXiv 2026,https://arxiv.org/abs/2603.20939,arxiv:2603.20939,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Conversation System,Communication; Human Feedback; Interaction; Orchestration,README:L112; README:L349; README:L496; README:L598; README:L699; README:L801,6,No,"Evaluative, Implicit","Scalar Rating, User Action",Segment,"During Task, Post Task",Collaboration,Cooperation,One-by-One,Synchronous,Centralized,Conversation
ACL26-W-A74FB31E13AF,UserBench: An Interactive Gym Environment for User-Centric Agents,2025,arXiv 2025,https://arxiv.org/abs/2507.22034,arxiv:2507.22034,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Travel,Communication; Human Feedback; Interaction; Orchestration,README:L152; README:L434; README:L515; README:L617; README:L718; README:L820,6,No,"Implicit, Guidance","User Action, Refinement",Segment,"Initial Setup, During Task",Collaboration,Cooperation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-C7370A263994,UserRL: Training Proactive User-Centric Agent via Reinforcement Learning,2025,arXiv 2025,https://arxiv.org/abs/2509.19736,arxiv:2509.19736,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Conversation System,Communication; Human Feedback; Interaction; Orchestration,README:L142; README:L357; README:L512; README:L614; README:L715; README:L817,6,No,"Evaluative, Guidance, Implicit","Scalar Rating, Refinements, Critique",Segment,During Task,Collaboration,"Supervision, Cooperation",One-by-One,Synchronous,Hierarchical,Conversation
